Clock frequency is approx. 2000.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	7877	4350	2926	2133	1689	1396	1180	1030	953	930	847	805	774	752	771	
64m	7242	4037	2788	2069	1629	1343	1128	976	899	837	795	757	729	711	693	
32m	7151	3938	2746	2072	1671	1369	1150	990	906	853	808	770	742	723	707	
16m	8490	4758	3598	3170	3140	2075	2318	2039	2078	1692	1699	1991	2231	2061	2317	
8m	13394	8396	6201	5069	4209	3590	3127	2752	2684	2646	2604	2597	2575	2614	2598	
4m	15268	9884	7234	6050	4896	4095	3525	3111	3092	3071	3065	3059	3043	3047	3032	
2m	15220	9832	7184	6034	4899	4102	3538	3106	3090	3066	3060	3049	3025	3026	3016	
1024k	15246	9863	7220	6062	4909	4115	3544	3106	3097	3083	3069	3065	3048	3045	3050	
512k	15251	9876	7409	6102	4932	4144	3560	3135	3141	3172	3256	3260	3346	3532	3638	
256k	15957	11789	9975	8332	7388	6315	5463	4696	4767	5159	5254	5549	5535	6322	6301	
128k	16611	14242	13634	11187	11086	10002	9008	8587	8267	8928	8869	8766	8737	8887	8751	
64k	16625	14381	13543	12740	11625	10666	9228	8696	8772	8657	8646	8593	8465	8629	11697	
32k	17528	17365	17309	17067	17267	16907	16031	14787	16930	16757	17164	16596	15899	16421	16000	
16k	17608	17486	17227	16961	17107	16748	15344	14841	15167	15526	15430	15337	14911	14625	17472	
